"ID","ID2","color","z","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","quality2","quality3"
918,917,"red",0,6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,"6","1","2"
919,918,"red",0,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,"6","1","2"
920,919,"red",0,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,"6","1","2"
922,921,"red",0,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,"6","1","2"
923,922,"red",0,8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,"6","1","2"
924,923,"red",0,6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,"6","1","2"
926,925,"red",0,8.6,0.22,0.36,1.9,0.064,53,77,0.99604,3.47,0.87,11,"7","1","2"
927,926,"red",0,9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,"6","1","2"
930,929,"red",0,8.7,0.33,0.38,3.3,0.063,10,19,0.99468,3.3,0.73,12,"7","1","2"
933,932,"red",0,7.6,0.4,0.29,1.9,0.078,29,66,0.9971,3.45,0.59,9.5,"6","1","2"
936,935,"red",0,8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,"6","1","2"
937,936,"red",0,8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,"6","1","2"
939,938,"red",0,7.2,0.38,0.38,2.8,0.068,23,42,0.99356,3.34,0.72,12.9,"7","1","2"
941,940,"red",0,9.6,0.33,0.52,2.2,0.074,13,25,0.99509,3.36,0.76,12.4,"7","1","2"
942,941,"red",0,9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,"7","1","2"
943,942,"red",0,10.1,0.43,0.4,2.6,0.092,13,52,0.99834,3.22,0.64,10,"7","1","2"
944,943,"red",0,9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,"7","1","2"
945,944,"red",0,8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,"7","1","2"
946,945,"red",0,10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,"7","1","2"
947,946,"red",0,10.2,0.44,0.58,4.1,0.092,11,24,0.99745,3.29,0.99,12,"7","1","2"
948,947,"red",0,8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,"7","1","2"
949,948,"red",0,8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,"7","1","2"
950,949,"red",0,8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,"7","1","2"
951,950,"red",0,8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,"7","1","2"
952,951,"red",0,8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,"7","1","2"
953,952,"red",0,8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,"7","1","2"
954,953,"red",0,10.2,0.34,0.48,2.1,0.052,5,9,0.99458,3.2,0.69,12.1,"7","1","2"
955,954,"red",0,7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,"6","1","2"
957,956,"red",0,9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,"6","1","2"
958,957,"red",0,9.5,0.37,0.52,2,0.088,12,51,0.99613,3.29,0.58,11.1,"6","1","2"
959,958,"red",0,6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,"7","1","2"
961,960,"red",0,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,"6","1","2"
964,963,"red",0,8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,"6","1","2"
965,964,"red",0,8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,"6","1","2"
966,965,"red",0,8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,"6","1","2"
967,966,"red",0,9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,"7","1","2"
969,968,"red",0,9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,"6","1","2"
971,970,"red",0,10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,"6","1","2"
972,971,"red",0,10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,"6","1","2"
973,972,"red",0,10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,"7","1","2"
975,974,"red",0,8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,"7","1","2"
979,978,"red",0,7,0.4,0.32,3.6,0.061,9,29,0.99416,3.28,0.49,11.3,"7","1","2"
981,980,"red",0,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,"6","1","2"
983,982,"red",0,7.3,0.52,0.32,2.1,0.07,51,70,0.99418,3.34,0.82,12.9,"6","1","2"
984,983,"red",0,9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,"6","1","2"
986,985,"red",0,7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,"6","1","2"
987,986,"red",0,9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,"7","1","2"
990,989,"red",0,9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,"6","1","2"
993,992,"red",0,6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,"6","1","2"
996,995,"red",0,7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,"6","1","2"
997,996,"red",0,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,"7","1","2"
998,997,"red",0,5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,"7","1","2"
999,998,"red",0,8.9,0.84,0.34,1.4,0.05,4,10,0.99554,3.12,0.48,9.1,"6","1","2"
1000,999,"red",0,6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,"6","1","2"
1001,1000,"red",0,7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,"7","1","2"
1002,1001,"red",0,9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,"7","1","2"
1003,1002,"red",0,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,"7","1","2"
1004,1003,"red",0,6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,"7","1","2"
1006,1005,"red",0,6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,"7","1","2"
1007,1006,"red",0,9.1,0.29,0.33,2.05,0.063,13,27,0.99516,3.26,0.84,11.7,"7","1","2"
1008,1007,"red",0,9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,"7","1","2"
1009,1008,"red",0,8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,"7","1","2"
1011,1010,"red",0,8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,"7","1","2"
1012,1011,"red",0,8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,"6","1","2"
1014,1013,"red",0,7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,"6","1","2"
1015,1014,"red",0,8,0.58,0.16,2,0.12,3,7,0.99454,3.22,0.58,11.2,"6","1","2"
1016,1015,"red",0,10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4,"6","1","2"
1017,1016,"red",0,8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,"7","1","2"
1018,1017,"red",0,8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,"6","1","2"
1019,1018,"red",0,8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,"6","1","2"
1021,1020,"red",0,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,"6","1","2"
1022,1021,"red",0,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,"6","1","2"
1024,1023,"red",0,8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,"6","1","2"
1025,1024,"red",0,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,"7","1","2"
1026,1025,"red",0,8.6,0.83,0,2.8,0.095,17,43,0.99822,3.33,0.6,10.4,"6","1","2"
1027,1026,"red",0,7.9,0.31,0.32,1.9,0.066,14,36,0.99364,3.41,0.56,12.6,"6","1","2"
1029,1028,"red",0,7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,"6","1","2"
1030,1029,"red",0,7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,"7","1","2"
1031,1030,"red",0,7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,"7","1","2"
1032,1031,"red",0,7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,"7","1","2"
1034,1033,"red",0,7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,"6","1","2"
1035,1034,"red",0,8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,"6","1","2"
1036,1035,"red",0,10.1,0.37,0.34,2.4,0.085,5,17,0.99683,3.17,0.65,10.6,"7","1","2"
1037,1036,"red",0,7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5,"7","1","2"
1039,1038,"red",0,8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,"7","1","2"
1040,1039,"red",0,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,"6","1","2"
1042,1041,"red",0,6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,"6","1","2"
1043,1042,"red",0,8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,"6","1","2"
1044,1043,"red",0,9.5,0.39,0.41,8.9,0.069,18,39,0.99859,3.29,0.81,10.9,"7","1","2"
1045,1044,"red",0,6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,"6","1","2"
1046,1045,"red",0,6.9,0.44,0,1.4,0.07,32,38,0.99438,3.32,0.58,11.4,"6","1","2"
1047,1046,"red",0,7.6,0.78,0,1.7,0.076,33,45,0.99612,3.31,0.62,10.7,"6","1","2"
1049,1048,"red",0,9.3,0.49,0.36,1.7,0.081,3,14,0.99702,3.27,0.78,10.9,"6","1","2"
1050,1049,"red",0,9.3,0.5,0.36,1.8,0.084,6,17,0.99704,3.27,0.77,10.8,"6","1","2"
1054,1053,"red",0,8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,"7","1","2"
1055,1054,"red",0,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,"6","1","2"
1056,1055,"red",0,8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,"6","1","2"
1057,1056,"red",0,8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,"7","1","2"
1059,1058,"red",0,9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,"7","1","2"
1060,1059,"red",0,8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,"7","1","2"
1061,1060,"red",0,11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,"6","1","2"
1063,1062,"red",0,8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,"6","1","2"
1064,1063,"red",0,10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,"6","1","2"
1065,1064,"red",0,8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,"6","1","2"
1066,1065,"red",0,7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,"6","1","2"
1067,1066,"red",0,6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,"7","1","2"
1068,1067,"red",0,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,"7","1","2"
1069,1068,"red",0,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,"7","1","2"
1071,1070,"red",0,9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,"7","1","2"
1073,1072,"red",0,7.2,0.35,0.26,1.8,0.083,33,75,0.9968,3.4,0.58,9.5,"6","1","2"
1074,1073,"red",0,8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,"6","1","2"
1076,1075,"red",0,9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,"7","1","2"
1077,1076,"red",0,9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,"6","1","2"
1080,1079,"red",0,7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,"7","1","2"
1081,1080,"red",0,10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,"6","1","2"
1082,1081,"red",0,7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,"7","1","2"
1083,1082,"red",0,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,"6","1","2"
1084,1083,"red",0,8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,"6","1","2"
1085,1084,"red",0,7.2,0.38,0.3,1.8,0.073,31,70,0.99685,3.42,0.59,9.5,"6","1","2"
1087,1086,"red",0,8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,"7","1","2"
1088,1087,"red",0,7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,"6","1","2"
1089,1088,"red",0,11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,"7","1","2"
1090,1089,"red",0,11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,"7","1","2"
1092,1091,"red",0,7.9,0.34,0.42,2,0.086,8,19,0.99546,3.35,0.6,11.4,"6","1","2"
1093,1092,"red",0,7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,"6","1","2"
1094,1093,"red",0,9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,"7","1","2"
1095,1094,"red",0,6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,"6","1","2"
1097,1096,"red",0,6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,"6","1","2"
1099,1098,"red",0,8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,"7","1","2"
1101,1100,"red",0,8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,"6","1","2"
1102,1101,"red",0,7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,"6","1","2"
1103,1102,"red",0,6.1,0.48,0.09,1.7,0.078,18,30,0.99402,3.45,0.54,11.2,"6","1","2"
1104,1103,"red",0,7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,"6","1","2"
1105,1104,"red",0,8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,"6","1","2"
1107,1106,"red",0,8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,"6","1","2"
1108,1107,"red",0,9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,"7","1","2"
1110,1109,"red",0,10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,"6","1","2"
1111,1110,"red",0,8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,"6","1","2"
1112,1111,"red",0,5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,"7","1","2"
1113,1112,"red",0,7.9,0.33,0.41,1.5,0.056,6,35,0.99396,3.29,0.71,11,"6","1","2"
1114,1113,"red",0,8.9,0.24,0.39,1.6,0.074,3,10,0.99698,3.12,0.59,9.5,"6","1","2"
1115,1114,"red",0,5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,"6","1","2"
1116,1115,"red",0,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,"6","1","2"
1117,1116,"red",0,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,"6","1","2"
1118,1117,"red",0,7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,"6","1","2"
1119,1118,"red",0,7.1,0.39,0.12,2.1,0.065,14,24,0.99252,3.3,0.53,13.3,"6","1","2"
1122,1121,"red",0,6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,"6","1","2"
1123,1122,"red",0,6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,"6","1","2"
1124,1123,"red",0,10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,"6","1","2"
1126,1125,"red",0,8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,"7","1","2"
1127,1126,"red",0,5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,"6","1","2"
1128,1127,"red",0,6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,"6","1","2"
1130,1129,"red",0,10.5,0.43,0.35,3.3,0.092,24,70,0.99798,3.21,0.69,10.5,"6","1","2"
1131,1130,"red",0,9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,"6","1","2"
1133,1132,"red",0,7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,"7","1","2"
1134,1133,"red",0,7.2,0.48,0.07,5.5,0.089,10,18,0.99684,3.37,0.68,11.2,"7","1","2"
1135,1134,"red",0,8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,"7","1","2"
1136,1135,"red",0,8,0.25,0.43,1.7,0.067,22,50,0.9946,3.38,0.6,11.9,"6","1","2"
1137,1136,"red",0,10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,"6","1","2"
1138,1137,"red",0,10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,"6","1","2"
1140,1139,"red",0,8.2,0.51,0.24,2,0.079,16,86,0.99764,3.34,0.64,9.5,"6","1","2"
1141,1140,"red",0,7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,"6","1","2"
1142,1141,"red",0,8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,"6","1","2"
1143,1142,"red",0,6.9,0.45,0.11,2.4,0.043,6,12,0.99354,3.3,0.65,11.4,"6","1","2"
1144,1143,"red",0,7,0.22,0.3,1.8,0.065,16,20,0.99672,3.61,0.82,10,"6","1","2"
1146,1145,"red",0,8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,"6","1","2"
1147,1146,"red",0,7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,"6","1","2"
1148,1147,"red",0,10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,"7","1","2"
1149,1148,"red",0,7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,"6","1","2"
1150,1149,"red",0,10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,"6","1","2"
1151,1150,"red",0,8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,"7","1","2"
1152,1151,"red",0,6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,"6","1","2"
1154,1153,"red",0,9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,"6","1","2"
1155,1154,"red",0,6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,"6","1","2"
1157,1156,"red",0,8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,"7","1","2"
1158,1157,"red",0,5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,"7","1","2"
1159,1158,"red",0,6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,"6","1","2"
1161,1160,"red",0,10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,"7","1","2"
1162,1161,"red",0,8.8,0.45,0.43,1.4,0.076,12,21,0.99551,3.21,0.75,10.2,"6","1","2"
1163,1162,"red",0,8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,"7","1","2"
1168,1167,"red",0,8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,"7","1","2"
1169,1168,"red",0,6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,"6","1","2"
1170,1169,"red",0,7.6,0.5,0.29,2.3,0.086,5,14,0.99502,3.32,0.62,11.5,"6","1","2"
1171,1170,"red",0,9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,"6","1","2"
1172,1171,"red",0,7.1,0.59,0,2.2,0.078,26,44,0.99522,3.42,0.68,10.8,"6","1","2"
1173,1172,"red",0,9.7,0.42,0.46,2.1,0.074,5,16,0.99649,3.27,0.74,12.3,"6","1","2"
1174,1173,"red",0,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,"6","1","2"
1175,1174,"red",0,7.6,0.36,0.31,1.7,0.079,26,65,0.99716,3.46,0.62,9.5,"6","1","2"
1176,1175,"red",0,6.5,0.61,0,2.2,0.095,48,59,0.99541,3.61,0.7,11.5,"6","1","2"
1178,1177,"red",0,7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,"7","1","2"
1180,1179,"red",0,8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,"6","1","2"
1181,1180,"red",0,8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,"6","1","2"
1183,1182,"red",0,10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,"6","1","2"
1186,1185,"red",0,7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,"6","1","2"
1188,1187,"red",0,7,0.43,0.3,2,0.085,6,39,0.99346,3.33,0.46,11.9,"6","1","2"
1191,1190,"red",0,9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,"6","1","2"
1193,1192,"red",0,7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,"7","1","2"
1195,1194,"red",0,7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,"6","1","2"
1196,1195,"red",0,6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,"6","1","2"
1197,1196,"red",0,7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,"6","1","2"
1198,1197,"red",0,7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,"6","1","2"
1199,1198,"red",0,7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,"6","1","2"
1200,1199,"red",0,7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,"6","1","2"
1201,1200,"red",0,7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,"6","1","2"
1202,1201,"red",0,7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,"7","1","2"
1205,1204,"red",0,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,"7","1","2"
1206,1205,"red",0,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,"7","1","2"
1207,1206,"red",0,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,"7","1","2"
1209,1208,"red",0,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,"7","1","2"
1210,1209,"red",0,6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,"7","1","2"
1211,1210,"red",0,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,"6","1","2"
1213,1212,"red",0,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,"6","1","2"
1214,1213,"red",0,9.6,0.38,0.42,1.9,0.071,5,13,0.99659,3.15,0.75,10.5,"6","1","2"
1215,1214,"red",0,10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,"6","1","2"
1216,1215,"red",0,8.8,0.27,0.46,2.1,0.095,20,29,0.99488,3.26,0.56,11.3,"6","1","2"
1217,1216,"red",0,7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,"6","1","2"
1218,1217,"red",0,8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,"6","1","2"
1219,1218,"red",0,8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,"6","1","2"
1220,1219,"red",0,9,0.39,0.4,1.3,0.044,25,50,0.99478,3.2,0.83,10.9,"6","1","2"
1221,1220,"red",0,10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,"6","1","2"
1222,1221,"red",0,10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,"6","1","2"
1223,1222,"red",0,8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,"6","1","2"
1224,1223,"red",0,10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,"6","1","2"
1225,1224,"red",0,12.6,0.39,0.49,2.5,0.08,8,20,0.9992,3.07,0.82,10.3,"6","1","2"
1229,1228,"red",0,5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,"7","1","2"
1231,1230,"red",0,7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,"6","1","2"
1235,1234,"red",0,7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,"6","1","2"
1237,1236,"red",0,7.8,0.55,0,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,"6","1","2"
1238,1237,"red",0,7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,"6","1","2"
1243,1242,"red",0,9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,"6","1","2"
1245,1244,"red",0,5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,"6","1","2"
1249,1248,"red",0,6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,"6","1","2"
1250,1249,"red",0,7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,"6","1","2"
1251,1250,"red",0,7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,"6","1","2"
1258,1257,"red",0,7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,"6","1","2"
1259,1258,"red",0,6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,"6","1","2"
1260,1259,"red",0,6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,"6","1","2"
